SHOW,SEASON,CONTESTANT,ELIMINATION-1,ELIMINATION-2,ELIMINATION-3,ELIMINATION-4,ELIMINATION-5,ELIMINATION-6,ELIMINATION-7,ELIMINATION-8,ELIMINATION-9,ELIMINATION-10,DATES-1,DATES-2,DATES-3,DATES-4,DATES-5,DATES-6,DATES-7,DATES-8,DATES-9,DATES-10,conid,conid2
Bachelorette,13,13_BRYAN_A,R1,,,R,R,,R,,,W,,,D6,D13,D1,D7,D1,D1,D1,D1,_BRYAN_A,13_BRYAN_A
Bachelorette,13,13_PETER_K,,R,,,,R,R,,,E,,D1,D6,D13,D9,D7,D1,D1,D1,D1,_PETER_K,13_PETER_K
Bachelorette,13,13_ERIC_B,,,R,,,R,R,,E,,,D10,D8,D13,D9,D1,D3,D1,D1,,_ERIC_B,13_ERIC_B
Bachelorette,13,13_DEAN_U,,R,,R,,,R,E,,,,D8,D8,D1,D9,D7,D1,D1,,,_DEAN_U,13_DEAN_U
Bachelorette,13,13_ADAM_G,,,,,,,ED,,,,,D10,D8,D13,D9,D7,D3,,,,_ADAM_G,13_ADAM_G
Bachelorette,13,13_MATT_M,,,,,,,ED,,,,,D10,,D13,D9,D7,D3,,,,_MATT_M,13_MATT_M
Bachelorette,13,13_ALEX_B,,,R,,,E,,,,,,D10,D6,D13,D9,D7,,,,,_ALEX_B,13_ALEX_B
Bachelorette,13,13_WILL_G,,,,,R,ED,,,,,,D10,D6,D13,D9,D1,,,,,_WILL_G,13_WILL_G
Bachelorette,13,13_KENNY_L,,,,,R,ED,,,,,,D8,D8,D13,D2,D7,,,,,_KENNY_L,13_KENNY_L
Bachelorette,13,13_ANTHONY_B,,,R,,E,,,,,,,,D1,D13,D9,,,,,,_ANTHONY_B,13_ANTHONY_B
Bachelorette,13,13_JOSIAH_G,,R,,,E,,,,,,,D10,,D13,D9,,,,,,_JOSIAH_G,13_JOSIAH_G
Bachelorette,13,13_LEE_G,,,,,ED,,,,,,,D10,D8,D13,D2,,,,,,_LEE_G,13_LEE_G
Bachelorette,13,13_IGGY_R,,,,E,,,,,,,,D8,,D13,,,,,,,_IGGY_R,13_IGGY_R
Bachelorette,13,13_JONATHAN_T,,,,E,,,,,,,,D8,D6,D13,,,,,,,_JONATHAN_T,13_JONATHAN_T
Bachelorette,13,13_JACK_S,,,,ED,,,,,,,,D8,D8,D1,,,,,,,_JACK_S,13_JACK_S
Bachelorette,13,13_BRADY_E,,,E,,,,,,,,,,D8,,,,,,,,_BRADY_E,13_BRADY_E
Bachelorette,13,13_BRYCE_P,,,E,,,,,,,,,,D8,,,,,,,,_BRYCE_P,13_BRYCE_P
Bachelorette,13,13_DIGGY_M,,,E,,,,,,,,,D10,,,,,,,,,_DIGGY_M,13_DIGGY_M
Bachelorette,13,13_FRED_J,,,ED,,,,,,,,,D8,D6,,,,,,,,_FRED_J,13_FRED_J
Bachelorette,13,13_BLAKE_E,,E,,,,,,,,,,D8,,,,,,,,,_BLAKE_E,13_BLAKE_E
Bachelorette,13,13_JAMEY_K,,E,,,,,,,,,,D10,,,,,,,,,_JAMEY_K,13_JAMEY_K
Bachelorette,13,13_LUCAS_Y,,E,,,,,,,,,,D8,,,,,,,,,_LUCAS_Y,13_LUCAS_Y
Bachelorette,13,13_DEMARIO_J,,EU,,,,,,,,,,D10,,,,,,,,,_DEMARIO_J,13_DEMARIO_J
Bachelorette,13,13_BLAKE_K,E,,,,,,,,,,,,,,,,,,,,_BLAKE_K,13_BLAKE_K
Bachelorette,13,13_GRANT_H,E,,,,,,,,,,,,,,,,,,,,_GRANT_H,13_GRANT_H
Bachelorette,13,13_JEDIDIAH_B,E,,,,,,,,,,,,,,,,,,,,_JEDIDIAH_B,13_JEDIDIAH_B
Bachelorette,13,13_KYLE_S,E,,,,,,,,,,,,,,,,,,,,_KYLE_S,13_KYLE_S
Bachelorette,13,13_MICHAEL_B,E,,,,,,,,,,,,,,,,,,,,_MICHAEL_B,13_MICHAEL_B
Bachelorette,13,13_MILTON_L,E,,,,,,,,,,,,,,,,,,,,_MILTON_L,13_MILTON_L
Bachelorette,13,13_MOHIT_S,E,,,,,,,,,,,,,,,,,,,,_MOHIT_S,13_MOHIT_S
Bachelorette,13,13_ROB_H,E,,,,,,,,,,,,,,,,,,,,_ROB_H,13_ROB_H
Bachelorette,SEASON,ID,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,,SEASON
Bachelorette,12,12_JORDAN_R,R1,,,R,R,,,,,W,,D6,D12,D11,D1,D5,D1,D1,D1,D1,_JORDAN_R,12_JORDAN_R
